"eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","eventlength","popularity","longitude","latitude"
45,"Kleinskys Delicatessen","breakfast","Deli",1,"8","17","8","17","8","17",1,2,18.42423,-33.92732
47,"Haas Collective","breakfast","Cafe",1,"7","17","7","17","7","17",1,1,18.6331326,-33.8727092
49,"Mondiall","breakfast","Seafood",3,"9","11","9","11","9","11",2,2,-84.7687579,44.3257819
51,"ON19 Restaurant - The Westin Cape Town","breakfast","African",3,"6.5","10","6.5","10","6.5","10",2,1,18.4252857,-33.9169151
53,"Yours Truly","breakfast","Cafe",1,"6","23","6","23","6","23",1,2,18.41077,-33.93035
55,"Pastis","breakfast","French",3,"8.5","22","8.5","22","8.5","22",2,1,18.4293251,-34.0232087
57,"Bootlegger Coffee Company","breakfast","Cafe",1,"6.5","22","6.5","22","6.5","22",1,2,18.385581,-33.9197088
59,"Bistro Sixteen82","breakfast","French",3,"9","11","9","11","9","11",2,2,18.4173455,-34.059288
61,"Yoco Eatery","breakfast","Burger",1,"8","16","8","16","8","16",1,1,18.6490016,-33.83177
63,"Franky's Diner","breakfast","American",1,NA,NA,"NULL",NA,"NULL",NA,1,2,18.3931389,-33.912166
65,"Honeybun","breakfast","Cafe",1,"7","17","7","17","7","17",1,1,18.46895,-33.93915
67,"Tokara Delicatessen","breakfast","Deli",2,"9",NA,"9","NA","9","NA",1.5,1,18.4240553,-33.9248685
69,"Restaurant @ Sweetwell","breakfast","Cafe",3,"8","16","8","16","8","16",2,1,18.4174,-33.91696
71,"Clarke's Bar & Dining Room","breakfast","European",1,"7","17","7","17","7","17",1,3,18.4240553,-33.9248685
73,"Hillcrest Restaurant","breakfast","Mediterranean",2,"9","17","9","17","9","17",1.5,1,18.4171771,-33.9223513
75,"The Gardener's Cottage","breakfast","Cafe",1,"8",NA,"8","NA","8","NA",1,1,18.6331326,-33.8727092
77,"I Love My Laundry","breakfast","Cafe",1,"7","19","7","19","7","19",1,1,18.457429,-33.97027
79,"Sotano","breakfast","European",2,"7","23","7","23","7","23",1.5,2,18.42192,-33.9288
81,"Basic Bistro","breakfast","Cafe",2,"7.5","22","7.5","22","7.5","22",1.5,1,18.399517,-33.9021373
83,"Origin Coffee Roasting","breakfast","Cafe",1,"7","17","7","17","7","17",1,2,18.8500952,-34.0851753
85,"Mugg & Bean","breakfast","Cafe",3,"8","22","8","22","8","22",2,1,18.5149529,-33.892772
87,"Tribakery","breakfast","Cafe",1,"8","22","8","22","8","22",1,1,NA,NA
89,"tashas","breakfast","Cafe",2," 7","21"," 7","21"," 7","21",1.5,2,18.4638251,-33.9795513
91,"Savour - African Pride 15 on Orange Hotel","breakfast","Asian",3,"6.5","10","6.5","10","6.5","10",2,1,18.4129022,-33.929752
93,"Brass Bell","breakfast","Seafood",3,"8","24","8","24","8","24",2,3,18.4541499,-33.971556
95,"Fire & Ice! Restaurant","breakfast","Seafood",3,"6","23","6","23","6","23",2,2,-122.2913078,37.8271784
97,"Saints Burger Joint","breakfast","Burger",2,"8.5","23","8.5","23","8.5","23",1.5,2,NA,NA
99,"Manna Epicure","breakfast","Mediterranean",2,"8","15","8","15","8","15",1.5,2,18.4072207,-33.9346556
101,"NOMAD Bistro Fusion","lunch","International",1,"8","16","8","16","8","16",1,1,18.4213655,-33.9197979
103,"Jarryds","lunch","Cafe",2,"7",NA,"7","NA","7","NA",1.5,3,18.38201,-33.92145
105,"The Village Idiot","lunch","South African",2,"15","2","15","2","15","2",1.5,2,18.42086,-33.91955
107,"Kloof Street House","lunch","Mediterranean",3,"17","22","17","22","17","22",2,3,18.41209,-33.9281999
109,"Bacon on Bree","lunch","Cafe",1,"7","16","7","16","7","16",1,2,18.41358,-33.9255799
